Horizon,SPY,QQQ,IWM,TLT,IEF,GLD,DBC,UUP,__CASH__
h1,8.844753714385423e-05,0.0,0.025308350090277543,0.007059012608021153,0.0,0.0,0.04048247474348964,0.07733292760643837,0.8497287874146294
h2,0.0015658254131129348,0.0,0.060241777998725196,0.030271989146177833,0.02354926267539086,0.0,0.05869467957305324,0.1153708920949039,0.7103055730986361
