"ResolvedPath","ExistsAfterDelete","UnifiedExists"
"C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2","False","True"
"C:\Users\jichu\Downloads\주식\stock_rtx4060_algo_v2_bundle\stock_rtx4060_algo_v2","False","True"
"C:\Users\jichu\Downloads\주식\stock_rtx4060_recommendation_patch","False","True"
"C:\Users\jichu\Downloads\주식\workspaces","False","True"
