Date,Horizon,SPY,QQQ,IWM,TLT,IEF,GLD,DBC,UUP,__CASH__
2023-10-30,h1,0.0,0.02374287255453358,0.0,0.0,9.980068548214715e-06,0.0,0.0,0.023009799087782883,0.9532373482891353
2023-10-30,h2,0.0,0.07140281107626249,0.0,0.0,0.000689418518983863,0.008342184378883729,0.0,0.020144393149180734,0.8994211928766892
2023-11-28,h1,0.01562961092586925,0.06856883280273127,0.0036923719047650947,0.0,2.143871744762094e-06,0.011987184006825793,0.0,0.027608352625582793,0.872511503862481
2023-11-28,h2,0.03425803771576385,0.03885333965184049,0.005309211350384841,0.021114356607439558,0.006160677010155499,0.02193573941649531,0.010153083812397058,0.028189662297205532,0.8340258921383179
2023-12-27,h1,0.015462652338975709,0.09436703823696438,0.07834142490990155,0.0,0.0,0.012249706814338212,0.0,0.0057584116478333405,0.7938207660519868
2023-12-27,h2,0.018748552128768175,0.17957550792786256,0.08944276903571474,2.667371753462378e-05,1.002120312538438e-05,0.012705871546508046,3.6811851023285485e-07,0.004459424930378338,0.695030811391598
2024-01-26,h1,0.022149870989674345,0.11357296816946104,0.08201337291733414,0.0015267120974645832,0.0,0.0,0.0,0.03286065063217946,0.7478764251938864
2024-01-26,h2,0.027291009517887665,0.12515965725755263,0.10613097668717131,0.0028403932869825008,0.0,0.0,0.0,0.04257965704452822,0.6959983062058777
2024-02-26,h1,0.02676455452726483,0.20879412438787634,0.08067097180770573,0.0015524276156912902,0.0,0.0,0.0,0.03313741035031547,0.6490805113111463
2024-02-26,h2,0.04516589774796819,0.21998596649709623,0.07995148644742452,6.861851923204687e-05,0.0,0.0,0.0,0.025291651464492824,0.6295363793237863
2024-03-25,h1,0.0339872794199465,0.22083464570884606,0.08634559387915436,0.0007243323916734176,0.0,0.009033636186780637,0.0,0.058539832943815956,0.5905346794697831
2024-03-25,h2,0.03347060643607098,0.22180659110823514,0.1374628365462287,0.00018225642938619421,0.0,0.009677377335026261,0.0,0.05886003644971314,0.5385402956953396
2024-04-23,h1,0.028783887452299883,0.2134441081978965,0.08611963308061568,0.0,0.0006841800514664283,0.023870384176232447,0.00933579067786272,0.09387311181501494,0.5438889045486115
2024-04-23,h2,0.021517846105042565,0.21111026773643596,0.145029603479594,0.0,0.0,0.025071985116272694,0.001620733918690828,0.0936137446467498,0.5020358189972141
2024-05-21,h1,0.09874383861672462,0.039554376570196906,0.03384567146085402,0.027234295059963023,0.11631389759716412,0.06714173693813928,0.10909702159561639,0.25,0.2580691621613417
2024-05-21,h2,0.09874383861672462,0.039554376570196906,0.03384567146085402,0.027234295059963023,0.11631389759716412,0.06714173693813928,0.10909702159561639,0.25,0.2580691621613417
