Asset,Weight
SPY,2.274391215905764e-16
QQQ,9.846153509813257e-18
IWM,0.0
TLT,0.0
IEF,3.15892983509721e-16
GLD,0.0
DBC,7.897528405045958e-17
UUP,0.0
__CASH__,0.9999999999999993
