Date,Horizon,SPY,QQQ,IWM,TLT,IEF,GLD,DBC,UUP,__CASH__
2023-10-30,h1,1.959368848977397e-08,0.023335058507635443,0.0,0.0,0.0,0.0,3.4325599591275253e-07,0.022293179313102107,0.954371399329578
2023-10-30,h2,1.738329196608837e-06,0.07350509477278626,0.0,0.0,0.00012021554733087004,0.004038430358332225,4.956548822909076e-05,0.0180717132307352,0.9042132422733897
2023-11-28,h1,0.0037963818295622975,0.04116322912744317,0.0021063179205887007,0.0,0.0,0.0018838456421583077,0.0,0.025662770917550048,0.9253874545626974
2023-11-28,h2,0.016703985673435874,0.01848355858667518,0.00011413936991665778,0.011304992907384669,0.006570749917445909,0.015423359022207345,0.009130544469366316,0.0286902688266114,0.8935784012269566
2023-12-27,h1,0.008454355353845111,0.04626641528054843,0.017019014360807695,0.0033505945536631194,0.010382750938134214,0.014357534198075353,0.00021390516710540592,0.047794227025747614,0.8521612031220731
2023-12-27,h2,0.0003231085025764757,0.03640457358993552,0.007315357800111415,0.0,0.0323452930925169,0.03617175925966712,0.0,0.060558892323430716,0.8268810154317618
2024-01-26,h1,0.014554560798661563,0.065271076887173,0.026565947281651625,0.027264047328100182,0.007754213785174044,0.010659681215708924,0.0,0.04896210927990759,0.7989683634236231
2024-01-26,h2,0.0344272566195292,0.11581879500112871,0.0267463484441148,7.386347924475162e-05,0.005331728694777346,0.005885080693200194,1.4212293839645999e-08,0.04440135965809036,0.7673155531976208
2024-02-26,h1,0.02267850630605255,0.09098754943132611,0.0348866981145116,0.020877021308894718,0.0033078980906888033,0.010870267377355894,0.0,0.05605483193056443,0.760337227440606
2024-02-26,h2,0.023142886690548797,0.13671307654508724,0.03457485239384434,0.014832308942010552,0.019602637576316157,0.027063152152230013,0.0,0.07271652318897112,0.6713545625109918
2024-03-25,h1,0.03850924178738349,0.1408402473997517,0.03623758898996534,9.297878421147294e-05,0.0017362443542283505,0.011203235492709601,0.0,0.05607260827833925,0.7153078549134108
2024-03-25,h2,0.038558268441473594,0.140889256580707,0.03641538554939841,0.0,0.00151457453036991,0.011276004076149152,0.0,0.05609820630095606,0.7152483045209459
2024-04-23,h1,0.03840589494464665,0.14493620126253007,0.04671322938118081,0.0,0.0001945949819742569,0.030813673568017078,0.0,0.06486896918774906,0.6740674366739021
2024-04-23,h2,0.03661837471646076,0.16912625250902846,0.05308513906179639,1.626569429654115e-06,0.0004472572902023299,0.00038840557465520735,1.95277852779753e-06,0.06561474245610732,0.6747162490437921
2024-05-21,h1,0.046229798905492905,0.17366773667821706,0.04823734153464428,2.5693874187899443e-05,0.00025683448114720883,0.06747981073488464,0.00012098398804613074,0.06586167113910218,0.5981201286642777
2024-05-21,h2,0.0466951225357273,0.17359557439937381,0.04843154288725148,0.0,0.00011347008613520251,0.06753578317039646,0.0,0.0657669330918465,0.5978615738292692
2024-06-20,h1,0.04445001049230036,0.14919923112560501,0.06061528835564247,0.0,0.052169484104731594,0.0717899918250563,0.0,0.0803849042348333,0.541391089861831
2024-06-20,h2,0.04795625545453189,0.160124936110241,0.06079801250241217,0.0055355584353912,0.0879194894572068,0.07180543678354012,0.0011369220188588423,0.11614335507520542,0.4485800341626126
2024-07-19,h1,0.05105107711406927,0.14701943462591552,0.08847695316091203,0.0,0.0658436880720634,0.0774111838314621,0.0,0.09592757245990848,0.47427009073566917
2024-07-19,h2,0.05627896225430269,0.15324485178573805,0.09477177172222402,0.0018492679390519086,0.09036118561888401,0.07416120342067754,0.0,0.12047939065261115,0.4088533666065106
2024-08-16,h1,0.04082357377222713,0.1375816682814217,0.08615938866330211,0.008277562218225114,0.060667085924918526,0.08172096769957622,0.0,0.11834192373125,0.46642782970907914
2024-08-16,h2,0.04985207345548394,0.16080720064824924,0.11955629026444757,0.0003109495333571505,0.06150998719962881,0.08149072591902481,0.00012247844044161387,0.11944344257707962,0.40690685196228715
2024-09-16,h1,0.030366417598220192,0.13538378169420923,0.0896953148006632,0.011784828265757991,0.07084121692231016,0.08116982560870699,0.0,0.12139566642282447,0.45936294868730776
2024-09-16,h2,0.047192354026294125,0.1469860006665678,0.1165930469130623,6.675256970493657e-06,0.07743428879201142,0.09191937741693516,0.00357222787202172,0.12831772977411643,0.38797829928202054
2024-10-14,h1,0.028298886129926204,0.13175758296152917,0.10272665950263181,0.0004688071801078678,0.07379295947743954,0.09672585137121809,0.0020228314082913895,0.12143057320836777,0.44277584876048826
2024-10-14,h2,0.00982018972506724,0.17253600331879282,0.11236928937632008,0.0,0.0774692361186296,0.0887076075716534,0.0033991530721792103,0.12499577893128366,0.4107027418860739
2024-11-11,h1,0.031564704933056735,0.1495222371721222,0.13849251397970813,9.956144623431032e-05,0.06749131749824884,0.09621437457725625,0.0005127077889546749,0.12182216695893726,0.39428041564548155
2024-11-11,h2,0.03139008125454134,0.14970217639747227,0.13881984682418774,1.8956626226337152e-06,0.06747026440250312,0.0959596892054076,0.000439253413179511,0.12238173711140267,0.39383505572868316
2024-12-10,h1,0.0321021995168274,0.15779792757260225,0.1194352693557208,0.0,0.11454587606982139,0.08771856972393251,0.0,0.1331492994835783,0.35525085827751735
2024-12-10,h2,0.01603831136570354,0.13178560633672498,0.13615956641103769,0.0002474519975067479,0.12333902864476877,0.11682111352182073,0.007584179665432214,0.14187855289260967,0.32614618916439575
2025-01-10,h1,0.03212328215956454,0.15783464290631366,0.11927864970741424,0.0,0.11441638271131001,0.08779985431333862,2.168284726380839e-05,0.1333201056769805,0.3552053996778146
2025-01-10,h2,0.03213151026583166,0.15784956813628362,0.11923070413886797,0.0,0.11437418846697904,0.08782978239104262,3.11550575552784e-05,0.13336459657657954,0.3551884949668602
2025-02-10,h1,0.03148630979889284,0.14302013266194927,0.11920052984541327,2.737717429084047e-06,0.11355152882652299,0.10801330209736779,7.639323650569074e-05,0.12996460885722358,0.35468445695869555
2025-02-10,h2,0.03140787058506317,0.14202750869666397,0.12005674648459663,5.789197201417248e-05,0.11208783559225062,0.10970722444981156,0.0002948512665778425,0.13017066400530372,0.3541894069477183
2025-03-11,h1,0.028268921907978167,0.12017091970475767,0.10409973681664286,0.01802507800520164,0.12860514299420647,0.1298456282604056,0.001607994860120435,0.12982432704291375,0.3395522504077735
2025-03-11,h2,0.022348347662146,0.1172546139984831,0.11187592101261032,0.01826679419327565,0.12886549213315288,0.13348140503779699,0.006227499313430877,0.1259093211304629,0.33577060551864135
2025-04-08,h1,0.01655682792144089,0.10743743557407932,0.08666936588645634,0.035153580162627936,0.1484017891894343,0.13779752502730216,0.0,0.1454349914649957,0.32254848477366327
2025-04-08,h2,0.012029452091467246,0.10646560403791426,0.10794826911298662,0.029917282914414856,0.14306838330128283,0.1407807247179273,0.0001652224010781209,0.14031944133814167,0.31930562008478713
2025-05-07,h1,0.016911362890608597,0.09248522934885306,0.0568073176124076,0.02166886954550591,0.14993299313388883,0.23580174377423663,0.0,0.10767093686587367,0.31872154682862575
2025-05-07,h2,0.01982612568479789,0.08324435692859147,0.021681744191793244,0.02555158758750322,0.15059384726362715,0.24981734553814147,0.00024310236820764195,0.10426268782639765,0.3447792026109403
2025-06-05,h1,0.009330507242039253,0.09854142117846772,0.06770714757462393,0.021382943082125867,0.14037368351670998,0.17023797553168973,0.0004286034877094386,0.12453018938966041,0.36746752899697366
2025-06-05,h2,0.020638309811019207,0.09014246498066016,0.06838927146326775,0.021518690344505622,0.13024808976236443,0.17000404767860366,0.003489695631119318,0.12480297772068037,0.3707664526077794
2025-07-07,h1,0.023195712433053278,0.01491376213660347,0.02905182599690063,0.10063120605618209,0.25,0.03901917663583806,0.043372951381320156,0.25,0.2498153653601023
2025-07-07,h2,0.023195712433053278,0.01491376213660347,0.02905182599690063,0.10063120605618209,0.25,0.03901917663583806,0.043372951381320156,0.25,0.2498153653601023
2025-08-04,h1,0.01310796772824164,0.07608060375326836,0.057178823258651326,0.042728539590474575,0.1699177433654394,0.13501498126607395,0.011965863428197231,0.15829971454038977,0.3357057630692637
2025-08-04,h2,0.013127307250904108,0.07610921108790122,0.0571402919116578,0.042725316434664505,0.16992134029653533,0.13505632862563938,0.011950537169912602,0.15828441212467292,0.3356852550981122
2025-09-02,h1,0.025109275198750888,0.01690029959348598,0.03056923848900891,0.10507187596447146,0.25,0.04168138767680604,0.04672842992911323,0.25,0.23393949314836338
2025-09-02,h2,0.025109275198750888,0.01690029959348598,0.03056923848900891,0.10507187596447146,0.25,0.04168138767680604,0.04672842992911323,0.25,0.23393949314836338
2025-09-30,h1,0.02612197041992937,0.017989991796180597,0.030893220765867962,0.10535350185256258,0.25,0.042189262200463415,0.05029678357412372,0.25,0.22715526939087238
2025-09-30,h2,0.02612197041992937,0.017989991796180597,0.030893220765867962,0.10535350185256258,0.25,0.042189262200463415,0.05029678357412372,0.25,0.22715526939087238
2025-10-28,h1,0.02450323796882417,0.01681091451517539,0.029418560739812995,0.10688673897145771,0.25,0.03193249336140573,0.05058873390025864,0.25,0.23985932054306525
2025-10-28,h2,0.02450323796882417,0.01681091451517539,0.029418560739812995,0.10688673897145771,0.25,0.03193249336140573,0.05058873390025864,0.25,0.23985932054306525
2025-11-25,h1,0.01781978095427964,0.012088546860585275,0.017628503303913245,0.1134314568193455,0.25,0.04027211854735984,0.04142433909398513,0.25,0.2573352544205313
