Date,q_conformal,coverage_proxy,abstention_rate,n_trade,n_candidates
2024-02-06,0.059282200895446294,0.9025,1.0,0,8
2024-02-07,0.059282200895446294,0.9025,1.0,0,8
2024-02-08,0.059282200895446294,0.9025,1.0,0,8
2024-02-09,0.05939189001618525,0.9025,1.0,0,8
2024-02-12,0.05939189001618525,0.9025,1.0,0,8
2024-02-13,0.05966524069290937,0.9025,1.0,0,8
2024-02-14,0.05966524069290937,0.9025,1.0,0,8
2024-02-15,0.05939189001618525,0.9025,1.0,0,8
2024-02-16,0.05939189001618525,0.9025,1.0,0,8
2024-02-20,0.05939189001618525,0.9025,1.0,0,8
2024-02-21,0.05966524069290937,0.9025,1.0,0,8
2024-02-22,0.05966524069290937,0.9025,1.0,0,8
2024-02-23,0.05966524069290937,0.9025,1.0,0,8
2024-02-26,0.06024456153633634,0.9025,1.0,0,8
2024-02-27,0.06024456153633634,0.9025,1.0,0,8
2024-02-28,0.06024456153633634,0.9025,1.0,0,8
2024-02-29,0.05966524069290937,0.9025,1.0,0,8
2024-03-01,0.05939189001618525,0.9025,1.0,0,8
2024-03-04,0.05939189001618525,0.9025,1.0,0,8
2024-03-05,0.059282200895446294,0.9025,1.0,0,8
2024-03-06,0.058409078674249895,0.9025,1.0,0,8
2024-03-07,0.05758498318956868,0.9025,1.0,0,8
2024-03-08,0.057093298001503034,0.9025,1.0,0,8
2024-03-11,0.05646221694810249,0.9025,1.0,0,8
2024-03-12,0.05646221694810249,0.9025,1.0,0,8
2024-03-13,0.05646221694810249,0.9025,1.0,0,8
2024-03-14,0.05646221694810249,0.9025,1.0,0,8
2024-03-15,0.05579213256890116,0.9025,1.0,0,8
2024-03-18,0.05698888579813163,0.9025,1.0,0,8
2024-03-19,0.057093298001503034,0.9025,1.0,0,8
2024-03-20,0.057093298001503034,0.9025,1.0,0,8
2024-03-21,0.057093298001503034,0.9025,1.0,0,8
2024-03-22,0.05698888579813163,0.9025,1.0,0,8
2024-03-25,0.05646221694810249,0.9025,1.0,0,8
2024-03-26,0.05646221694810249,0.9025,1.0,0,8
2024-03-27,0.05646221694810249,0.9025,1.0,0,8
